"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
9,8,8,8,6,12,7,8,7,8,7,7,6,8,9,23,27,11,13,10
15,8,9,9,7,21,27,9,8,7,7,7,15,24,10,56,27,7,8,29
18,17,18,12,20,19,18,20,15,17,17,17,30,22,21,40,29,18,15,27
21,19,20,20,26,25,16,19,13,16,16,15,35,19,24,30,17,15,19,24
14,7,8,10,6,17,21,9,3,5,7,8,40,11,13,24,24,4,7,17
10,2,9,11,6,29,18,2,9,2,3,2,54,24,3,31,24,3,6,24
11,3,8,11,5,12,18,12,5,3,3,5,20,11,6,11,9,1,6,8
14,5,12,22,7,19,19,10,7,6,5,8,13,29,11,31,23,10,13,17
8,2,4,11,2,6,6,3,4,3,5,4,6,5,8,9,9,3,1,2
5,4,10,24,3,26,30,6,6,2,2,4,21,12,10,41,24,8,4,8
4,3,11,25,4,27,25,4,5,2,5,5,29,21,7,39,70,7,4,37
18,14,20,21,11,26,22,18,13,12,12,13,35,18,16,50,62,18,15,52
27,25,52,29,29,44,25,18,21,33,28,31,44,29,29,59,65,30,19,27
21,16,25,19,17,25,25,13,6,12,12,16,43,21,16,46,56,17,15,16
8,3,6,7,4,19,14,11,5,8,6,8,20,12,8,46,41,5,12,13
2,3,10,3,5,12,12,8,3,4,3,6,9,5,6,18,22,7,8,8
11,5,21,5,9,31,25,14,8,11,10,8,28,6,9,59,131,20,35,45
18,8,33,8,18,27,19,21,7,13,15,17,21,15,15,33,56,17,20,22
10,10,44,14,16,49,39,35,14,32,13,18,31,18,20,68,120,27,42,37
24,19,36,23,21,24,28,28,11,14,14,16,24,22,20,37,44,14,25,25
27,19,34,20,15,46,64,27,8,18,16,17,36,32,15,80,58,37,28,29
8,27,25,12,10,21,47,12,6,21,8,9,26,16,11,68,21,18,14,21
13,10,12,11,7,8,19,7,3,7,7,7,10,7,6,14,7,12,8,8
2,2,14,4,1,19,32,2,1,2,1,12,26,2,3,43,28,2,2,3
2,2,19,5,1,12,27,2,3,2,2,1,16,3,6,33,14,4,4,13
3,3,15,10,2,19,29,3,2,2,2,2,14,4,4,46,20,3,2,21
13,5,10,7,5,4,8,6,3,3,5,4,8,5,9,17,6,6,5,4
