"station","utmx","utmy","forest"
312,541417,4702460.5,0.914797394
313,543987,4702024.5,0.791721224
314,549027,4701717.5,0.747561745
315,552524,4703003.5,0.8005897485
316,138198,4705227,0.3789056855
317,143898,4704848,0.422679664
318,204510,4706072,0.745284965
319,207359,4705130,0.7927636375
320,234509,4705812,0.543606907
321,238811,4704338,0.4952582435
324,262532.5,4704955,0.650643
327,292923.5,4706233.5,0.44187631
328,388859.5,4720502,0.3466336745
330,304327,4707017,0.561173972
331,308843.5,4705183,0.5177998165
332,313792,4705315,0.6445717335
333,298164.5,4724486,0.717662877
334,301315.5,4725194.5,0.726454382
335,336806,4705009.5,0.294926136
336,339749,4705617.5,0.258697412
337,303518.5,4725850,0.5352920105
338,403205,4704524.5,0.5607266285
341,461430,4706565.5,0.656458335
344,495693.5,4706620.5,0.7482616815
345,514542,4705747,0.6988688095
348,552314,4704667.5,0.8122768815
350,208031,4709660,0.787359736
351,231430,4709575,0.6077319935
352,236151,4711047,0.510487436
353,239354,4709913,0.4203482695
357,293100.5,4710001,0.303516512
359,335279.5,4708565,0.285902928
360,339641.5,4709767.5,0.173280289
365,450688.5,4710771.5,0.7215888255
366,459880.5,4710223.5,0.5666423115
368,486832.5,4710502.5,0.531315828
369,491621,4709902.5,0.5336234245
370,494560.5,4710457,0.5604477495
371,509546.5,4710056,0.656508164
373,517856.5,4710304,0.710224671
374,520231,4708711,0.698174616
375,236667,4713158,0.501148055
377,339273.5,4714428.5,0.2523761545
380,449286,4714991,0.72925535
381,452398,4713641.5,0.6134210115
385,491491,4713978,0.656359089
386,517477,4713064,0.690629162
388,525335,4712486.5,0.623994333
390,320394.5,4718033,0.374993184
393,465597.5,4717673,0.577428702
395,475109.5,4717590,0.45996796
396,479720.5,4717717,0.561398165
397,483195.5,4716625,0.507472083
398,499157.5,4716881,0.6561873135
399,501149.5,4717235.5,0.6431650265
402,547442,4717829.5,0.9316554375
403,551721.5,4716388,0.5817728615
405,309396,4737351.5,0.3250718815
406,320333.5,4720575.5,0.5124407845
407,324447.5,4720709,0.3856937835
410,493851.5,4720855,0.531913188
411,498673,4720796.5,0.689961555
412,502494,4721225,0.5396663765
413,506382.5,4723106.5,0.6152695055
414,548931.5,4719538,0.8842180545
415,551438.5,4721211.5,0.7011090985
416,557800.5,4721118,0.62027541
418,311537,4743503.5,0.1847313805
421,324290,4725766,0.3743831635
424,498716,4725235,0.4788898575
425,502732,4726064.5,0.4225011365
426,560461.5,4724378.5,0.5278630585
428,463555,4740935,0.3257344235
429,421765,4728687.5,0.566675862
431,441672,4728479.5,0.583315637
432,521327.5,4728776,0.7285504165
434,528963.5,4729404.5,0.571691552
438,420860.5,4732952.5,0.5343438435
440,435075.5,4732162.5,0.732336609
441,442187.5,4733909,0.5170009975
444,482386,4733361,0.462145255
445,485975.5,4733546.5,0.3944218515
446,490297,4733862,0.5522580865
447,502474,4733130.5,0.566046696
448,505253.5,4734014,0.501534595
449,509501,4733736,0.45078481
450,521824,4733385,0.776367656
453,303915.5,4729148,0.58027115
454,297354.5,4736829.5,0.7358286825
455,301353.5,4736753.5,0.7579533835
456,305393,4737310.5,0.6404424275
458,468392,4737737,0.623826233
460,482900,4736519,0.562014475
461,486144.5,4736478,0.448572563
462,503749,4736265,0.4467214745
463,505586,4736780,0.500474867
465,524800.5,4737760.5,0.6613601805
467,304554,4740749,0.638470797
468,309963,4740197,0.2919439215
469,467588,4739888,0.533582341
